# source: LUH3-2026
# description: Based on {{source}}.
variable,year,region,unit,value
Land Cover,2010,AFG,million ha,64.23926974039028
Land Cover,2010,AGO,million ha,124.8501206313322
Land Cover,2010,ALB,million ha,2.820242041918226
Land Cover,2010,ARE,million ha,7.092059696561437
Land Cover,2010,ARG,million ha,278.35463179829804
Land Cover,2010,ARM,million ha,2.955943569062315
Land Cover,2010,ATG,million ha,0.041020797772665
Land Cover,2010,AUS,million ha,769.564096346731
Land Cover,2010,AUT,million ha,8.376130072407733
Land Cover,2010,AZE,million ha,8.56122013679014
Land Cover,2010,BDI,million ha,2.715099703144157
Land Cover,2010,BEL,million ha,3.049571020658536
Land Cover,2010,BEN,million ha,11.64030406554819
Land Cover,2010,BFA,million ha,27.38482221623086
Land Cover,2010,BGD,million ha,13.661985401824948
Land Cover,2010,BGR,million ha,11.254614580560458
Land Cover,2010,BHR,million ha,0.0563517930895691
Land Cover,2010,BHS,million ha,1.1674314142905975
Land Cover,2010,BIH,million ha,5.171023012452447
Land Cover,2010,BLR,million ha,20.662256113624284
Land Cover,2010,BLZ,million ha,2.2129846978599845
Land Cover,2010,BOL,million ha,109.0427670474958
Land Cover,2010,BRA,million ha,850.302482167778
Land Cover,2010,BRB,million ha,0.0423245168370266
Land Cover,2010,BTN,million ha,4.04174506353846
Land Cover,2010,BWA,million ha,58.04883193161496
Land Cover,2010,CAF,million ha,62.06177368020891
Land Cover,2010,CAN,million ha,985.8860081675808
Land Cover,2010,CHE,million ha,4.134954144044864
Land Cover,2010,CHL,million ha,72.74922752150613
Land Cover,2010,CHN,million ha,937.64934219181
Land Cover,2010,CIV,million ha,32.186797326305495
Land Cover,2010,CMR,million ha,46.61681354175366
Land Cover,2010,COD,million ha,233.54152286941925
Land Cover,2010,COG,million ha,34.64588688938065
Land Cover,2010,COL,million ha,113.8844509536158
Land Cover,2010,COM,million ha,0.1566509202275604
Land Cover,2010,CRI,million ha,5.110715613453047
Land Cover,2010,CYP,million ha,0.8899879471741424
Land Cover,2010,CZE,million ha,7.847734610895971
Land Cover,2010,DEU,million ha,35.5989903132741
Land Cover,2010,DJI,million ha,2.1843939859203982
Land Cover,2010,DNK,million ha,4.190516376512447
Land Cover,2010,DOM,million ha,4.8362673270329815
Land Cover,2010,DZA,million ha,231.20304452152976
Land Cover,2010,ECU,million ha,25.53824829782761
Land Cover,2010,EGY,million ha,100.23571104965389
Land Cover,2010,ESP,million ha,50.569087456162
Land Cover,2010,EST,million ha,4.500808264306963
Land Cover,2010,ETH,million ha,113.20856622896608
Land Cover,2010,FIN,million ha,33.00327656984259
Land Cover,2010,FJI,million ha,1.7343235032306954
Land Cover,2010,FRA,million ha,63.247086982979134
Land Cover,2010,GAB,million ha,26.0745561377165
Land Cover,2010,GBR,million ha,24.215823201253457
Land Cover,2010,GEO,million ha,6.933753215769604
Land Cover,2010,GHA,million ha,23.910618067981936
Land Cover,2010,GIN,million ha,24.521079521815302
Land Cover,2010,GMB,million ha,1.0416300916867105
Land Cover,2010,GNB,million ha,3.271070101176308
Land Cover,2010,GRC,million ha,13.009745507121483
Land Cover,2010,GRD,million ha,0.0330698087699981
Land Cover,2010,GTM,million ha,10.918148924497665
Land Cover,2010,GUY,million ha,21.20594740086792
Land Cover,2010,HKG,million ha,0.1009288356883992
Land Cover,2010,HND,million ha,11.22714938367427
Land Cover,2010,HRV,million ha,5.466723479814972
Land Cover,2010,HTI,million ha,2.679055207922912
Land Cover,2010,HUN,million ha,9.29336289291611
Land Cover,2010,IDN,million ha,187.27937625941263
Land Cover,2010,IND,million ha,308.7211666353564
Land Cover,2010,IRL,million ha,6.91315700699567
Land Cover,2010,IRN,million ha,162.20195577509398
Land Cover,2010,IRQ,million ha,43.76039273547638
Land Cover,2010,ISL,million ha,10.093169732766512
Land Cover,2010,ISR,million ha,2.062124585571861
Land Cover,2010,ITA,million ha,30.000578340544745
Land Cover,2010,JAM,million ha,1.0943903431507156
Land Cover,2010,JOR,million ha,8.893188410835688
Land Cover,2010,JPN,million ha,37.03750342316783
Land Cover,2010,KAZ,million ha,270.94069165853995
Land Cover,2010,KEN,million ha,58.48767537193273
Land Cover,2010,KGZ,million ha,19.87170645788995
Land Cover,2010,KHM,million ha,18.17496127241128
Land Cover,2010,KOR,million ha,9.767452358014925
Land Cover,2010,KWT,million ha,1.7424498116402392
Land Cover,2010,LAO,million ha,22.88313396392512
Land Cover,2010,LBN,million ha,0.9930402040603064
Land Cover,2010,LBR,million ha,9.572640123906687
Land Cover,2010,LBY,million ha,162.58232023048689
Land Cover,2010,LCA,million ha,0.0594243829480305
Land Cover,2010,LKA,million ha,6.60051583704437
Land Cover,2010,LSO,million ha,3.0145364715818217
Land Cover,2010,LTU,million ha,6.458315372917519
Land Cover,2010,LUX,million ha,0.2606016095369177
Land Cover,2010,LVA,million ha,6.410131778027391
Land Cover,2010,MAC,million ha,0.002206788382094
Land Cover,2010,MAR,million ha,41.34611756478164
Land Cover,2010,MDA,million ha,3.3116608125273927
Land Cover,2010,MDG,million ha,59.206898003538505
Land Cover,2010,MEX,million ha,195.65435786254457
Land Cover,2010,MKD,million ha,2.535198897117235
Land Cover,2010,MLI,million ha,125.68126781381343
Land Cover,2010,MLT,million ha,0.0293893060993853
Land Cover,2010,MMR,million ha,66.42551649245414
Land Cover,2010,MNE,million ha,1.3697085057602112
Land Cover,2010,MNG,million ha,156.0522066344237
Land Cover,2010,MOZ,million ha,79.03796750286247
Land Cover,2010,MRT,million ha,103.89262456405204
Land Cover,2010,MWI,million ha,11.980851609500826
Land Cover,2010,MYS,million ha,32.80265558771372
